tamanho,versao,execucao,resultado,pegou_ouro,pontuacao,passos,fitness_melhor_final,fitness_medio_final
20,v3,8,morreu,0,-1002,2,0,0
20,v1,9,morreu,0,-1011,11,,
20,v2,9,morreu,0,-1014,14,,
20,v3,9,morreu,0,-1022,6,0,0
20,v1,10,morreu,0,-1010,10,,
20,v2,10,morreu,0,-1012,12,,
20,v3,10,morreu,0,-1004,4,0,0
20,v1,11,morreu,0,-1002,2,,
20,v2,11,morreu,0,-1004,4,,
20,v3,11,morreu,0,-1012,4,0,0
20,v1,12,morreu,0,-1012,12,,
20,v2,12,morreu,0,-1004,4,,
20,v3,12,morreu,0,-1018,10,0,0
20,v1,13,morreu,0,-1005,5,,
20,v2,13,morreu,0,-1004,4,,
20,v3,13,morreu,0,-1029,17,0,0
20,v1,14,morreu,0,-1005,5,,
20,v2,14,morreu,0,-1011,11,,
20,v3,14,morreu,0,-1012,4,0,0
20,v1,15,morreu,0,-1008,8,,
20,v2,15,morreu,0,-1004,4,,
20,v3,15,morreu,0,-1002,2,0,0
20,v1,16,morreu,0,-1003,3,,
20,v2,16,morreu,0,-1004,4,,
20,v3,16,morreu,0,-1031,11,0,0
20,v1,17,morreu,0,-1007,7,,
20,v2,17,morreu,0,-1004,4,,
20,v3,17,morreu,0,-1058,22,0,0
20,v1,18,morreu,0,-1010,10,,
20,v2,18,morreu,0,-1011,11,,
20,v3,18,morreu,0,-1012,4,0,0
20,v1,19,morreu,0,-1022,22,,
20,v2,19,morreu,0,-1004,4,,
20,v3,19,morreu,0,-1034,26,0,0
20,v1,20,morreu,0,-1020,20,,
20,v2,20,morreu,0,-1004,4,,
20,v3,20,morreu,0,-1002,2,0,0
20,v1,21,morreu,0,-1004,4,,
20,v2,21,morreu,0,-1004,4,,
20,v3,21,morreu,0,-1002,2,0,0
20,v1,22,morreu,0,-1009,9,,
20,v2,22,morreu,0,-1004,4,,
20,v3,22,morreu,0,-1007,3,0,0
20,v1,23,morreu,0,-1007,7,,
20,v2,23,morreu,0,-1011,11,,
20,v3,23,morreu,0,-1019,7,0,0
20,v1,24,morreu,0,-1016,16,,
20,v2,24,morreu,0,-1004,4,,
20,v3,24,morreu,0,-1039,15,0,0
20,v1,25,morreu,0,-1002,2,,
20,v2,25,morreu,0,-1004,4,,
20,v3,25,morreu,0,-1021,9,0,0
20,v1,26,morreu,0,-1003,3,,
20,v2,26,morreu,0,-1004,4,,
20,v3,26,morreu,0,-1088,36,0,0
20,v1,27,morreu,0,-1004,4,,
20,v2,27,morreu,0,-1014,14,,
20,v3,27,morreu,0,-1022,6,0,0
20,v1,28,morreu,0,-1002,2,,
20,v2,28,morreu,0,-1004,4,,
20,v3,28,morreu,0,-1012,4,0,0
20,v1,29,morreu,0,-1015,15,,
20,v2,29,morreu,0,-1004,4,,
20,v3,29,morreu,0,-1030,14,0,0
20,v1,30,morreu,0,-1002,2,,
20,v2,30,morreu,0,-1011,11,,
20,v3,30,morreu,0,-1014,6,0,0
